TypeName;SystemType
cs+class://Spring/Caching/BaseCacheAttribute;True
cs+class://System/Attribute;False
cs+class://System/Reflection/MemberInfo;False
cs+class://System/Object;False
cs+class://System/String;False
cs+class://System/Boolean;False
cs+class://System/Int32;False
cs+class://System/Type;False
cs+interface://System/Collections/Generic/IList[1];False
cs+interface://System/Collections/IEnumerable;False
cs+interface://System/Collections/IEnumerator;False
cs+interface://System/Collections/Generic/IEnumerable[1];False
cs+interface://System/Collections/Generic/IEnumerator[1];False
cs+interface://System/IDisposable;False
cs+class://System/Reflection/CustomAttributeData;False
cs+class://System/Reflection/Module;False
cs+class://System/Reflection/MethodBase;False
cs+class://System/RuntimeMethodHandle;False
cs+class://System/ValueType;False
cs+class://System/Runtime/Serialization/SerializationInfo;False
cs+class://System/Runtime/Serialization/SerializationInfoEnumerator;False
cs+class://System/Runtime/Serialization/SerializationEntry;False
cs+class://System/Char;False
cs+interface://System/IFormatProvider;False
cs+class://System/Globalization/CultureInfo;False
cs+class://System/Globalization/CompareInfo;False
cs+class://System/Reflection/Assembly;False
cs+class://System/Security/Policy/Evidence;False
cs+class://System/Array;False
cs+class://System/Collections/ObjectModel/ReadOnlyCollection[1];False
cs+interface://System/Collections/Generic/ICollection[1];False
cs+interface://System/Collections/IList;False
cs+interface://System/Collections/ICollection;False
cs+class://System/Int64;False
cs+interface://System/IComparable;False
cs+interface://System/IFormattable;False
cs+interface://System/IConvertible;False
cs+class://System/SByte;False
cs+interface://System/IComparable[1];False
cs+interface://System/IEquatable[1];False
cs+class://System/Byte;False
cs+class://System/Int16;False
cs+class://System/UInt16;False
cs+class://System/UInt32;False
cs+class://System/UInt64;False
cs+class://System/Single;False
cs+class://System/Double;False
cs+class://System/Decimal;False
cs+interface://System/Runtime/Serialization/IDeserializationCallback;False
cs+class://System/DateTime;False
cs+class://System/TimeSpan;False
cs+interface://System/Runtime/Serialization/ISerializable;False
cs+class://System/Runtime/Serialization/StreamingContext;False
cs+interface://System/Collections/IComparer;False
cs+interface://System/Collections/Generic/IComparer[1];False
cs+interface://System/ICloneable;False
cs+interface://System/Collections/IStructuralComparable;False
cs+interface://System/Collections/IStructuralEquatable;False
cs+interface://System/Collections/IEqualityComparer;False
cs+class://System/Reflection/AssemblyName;False
cs+class://System/Version;False
cs+class://System/Reflection/StrongNameKeyPair;False
cs+interface://System/Runtime/InteropServices/_AssemblyName;False
cs+class://System/IntPtr;False
cs+class://System/IO/Stream;False
cs+class://System/MarshalByRefObject;False
cs+class://System/Runtime/Remoting/ObjRef;False
cs+interface://System/Runtime/Remoting/IRemotingTypeInfo;False
cs+interface://System/Runtime/Remoting/IEnvoyInfo;False
cs+interface://System/Runtime/Remoting/Messaging/IMessageSink;False
cs+interface://System/Runtime/Remoting/Messaging/IMessage;False
cs+interface://System/Collections/IDictionary;False
cs+interface://System/Collections/IDictionaryEnumerator;False
cs+class://System/Collections/DictionaryEntry;False
cs+interface://System/Runtime/Remoting/Messaging/IMessageCtrl;False
cs+interface://System/Runtime/Remoting/IChannelInfo;False
cs+interface://System/Runtime/Serialization/IObjectReference;False
cs+class://System/Threading/WaitHandle;False
cs+class://Microsoft/Win32/SafeHandles/SafeWaitHandle;False
cs+class://System/Runtime/ConstrainedExecution/CriticalFinalizerObject;False
cs+class://System/Runtime/InteropServices/SafeHandle;False
cs+class://Microsoft/Win32/SafeHandles/SafeHandleZeroOrMinusOneIsInvalid;False
cs+interface://System/IAsyncResult;False
cs+class://System/Reflection/Binder;False
cs+class://System/Reflection/FieldInfo;False
cs+class://System/RuntimeFieldHandle;False
cs+class://System/RuntimeTypeHandle;False
cs+class://System/ModuleHandle;False
cs+class://System/TypedReference;False
cs+interface://System/Runtime/InteropServices/_FieldInfo;False
cs+class://System/Reflection/PropertyInfo;False
cs+class://System/Reflection/MethodInfo;False
cs+class://System/Reflection/MethodBody;False
cs+class://System/Reflection/ParameterInfo;False
cs+interface://System/Runtime/InteropServices/_ParameterInfo;False
cs+interface://System/Reflection/ICustomAttributeProvider;False
cs+interface://System/Runtime/InteropServices/_MethodInfo;False
cs+interface://System/Runtime/InteropServices/_PropertyInfo;False
cs+class://System/IO/FileStream;False
cs+class://System/Security/AccessControl/FileSecurity;False
cs+class://System/Security/AccessControl/ObjectSecurity;False
cs+class://System/Security/Principal/IdentityReference;False
cs+class://System/Security/AccessControl/AccessRule;False
cs+class://System/Security/AccessControl/AuthorizationRule;False
cs+class://System/Security/AccessControl/AuditRule;False
cs+class://System/Security/AccessControl/CommonObjectSecurity;False
cs+class://System/Security/AccessControl/AuthorizationRuleCollection;False
cs+class://System/Collections/ReadOnlyCollectionBase;False
cs+class://System/Collections/ArrayList;False
cs+class://System/Security/AccessControl/NativeObjectSecurity;False
cs+class://System/Security/AccessControl/FileSystemSecurity;False
cs+class://System/Security/AccessControl/FileSystemAccessRule;False
cs+class://System/Security/AccessControl/FileSystemAuditRule;False
cs+class://Microsoft/Win32/SafeHandles/SafeFileHandle;False
cs+class://System/Reflection/ManifestResourceInfo;False
cs+class://System/Security/PermissionSet;False
cs+interface://System/Security/IPermission;False
cs+interface://System/Security/ISecurityEncodable;False
cs+class://System/Security/SecurityElement;False
cs+class://System/Collections/Hashtable;False
cs+interface://System/Collections/IHashCodeProvider;False
cs+interface://System/Security/IStackWalk;False
cs+interface://System/Runtime/InteropServices/_Assembly;False
cs+interface://System/Security/IEvidenceFactory;False
cs+class://System/Globalization/SortKey;False
cs+class://System/Globalization/TextInfo;False
cs+class://System/Globalization/NumberFormatInfo;False
cs+class://System/Globalization/DateTimeFormatInfo;False
cs+class://System/Globalization/Calendar;False
cs+interface://System/Runtime/InteropServices/_MethodBase;False
cs+class://System/Security/Cryptography/X509Certificates/X509Certificate;False
cs+class://System/Security/SecureString;False
cs+class://System/Guid;False
cs+interface://System/Runtime/InteropServices/_Module;False
cs+class://System/Reflection/ConstructorInfo;False
cs+interface://System/Runtime/InteropServices/_ConstructorInfo;False
cs+class://System/Reflection/EventInfo;False
cs+class://System/Delegate;False
cs+interface://System/Runtime/InteropServices/_EventInfo;False
cs+class://System/Reflection/InterfaceMapping;False
cs+class://System/Runtime/InteropServices/StructLayoutAttribute;False
cs+interface://System/Runtime/InteropServices/_Type;False
cs+interface://System/Reflection/IReflect;False
cs+class://System/CharEnumerator;False
cs+interface://System/Runtime/InteropServices/_MemberInfo;False
cs+class://Spring/Caching/AbstractCache;True
cs+interface://Spring/Caching/ICache;True
cs+class://Spring/Caching/CacheResultAttribute;True
cs+class://Spring/Caching/CacheResultItemsAttribute;True
cs+class://Spring/Caching/CacheParameterAttribute;True
cs+class://Spring/Caching/InvalidateCacheAttribute;True
cs+class://Spring/Caching/NonExpiringCache;True
cs+class://Spring/Collections/AbstractQueue;True
cs+interface://Spring/Collections/IQueue;True
cs+class://Spring/Collections/CaseInsensitiveHashtable;True
cs+class://Spring/Collections/DictionarySet;True
cs+class://Spring/Collections/Set;True
cs+class://Spring/Collections/DictionarySet/DictionarySetEnumerator;True
cs+class://Spring/Collections/Generic/DictionarySet[1];True
cs+class://Spring/Collections/Generic/Set[1];True
cs+class://Spring/Collections/Generic/HashedSet[1];True
cs+class://Spring/Collections/Generic/ImmutableSet[1];True
cs+interface://Spring/Collections/Generic/ISet[1];True
cs+class://Spring/Collections/Generic/OrderedSet[1];True
cs+class://Spring/Collections/Generic/ReadOnlyDictionary[2];True
cs+interface://System/Collections/Generic/IDictionary[2];False
cs+interface://Spring/Collections/ISet;True
cs+class://Spring/Collections/Generic/SortedSet[1];True
cs+class://Spring/Collections/Generic/SynchronizedSet[1];True
cs+class://Spring/Collections/HashedSet;True
cs+class://Spring/Collections/HybridSet;True
cs+class://Spring/Collections/ImmutableSet;True
cs+class://Spring/Collections/LinkedList;True
cs+class://Spring/Collections/LinkedList/Node;True
cs+class://Spring/Collections/LinkedList/NodeHolder;True
cs+class://Spring/Collections/LinkedList/LinkedListEnumerator;True
cs+class://Spring/Collections/ListSet;True
cs+class://Spring/Collections/NoElementsException;True
cs+class://System/ApplicationException;False
cs+class://System/Exception;False
cs+interface://System/Runtime/InteropServices/_Exception;False
cs+class://Spring/Collections/PriorityQueue;True
cs+class://Spring/Collections/PriorityQueue/PriorityQueueEnumerator;True
cs+class://Spring/Collections/SortedSet;True
cs+class://Spring/Collections/SynchronizedDictionaryEnumerator;True
cs+class://Spring/Collections/SynchronizedEnumerator;True
cs+class://Spring/Collections/SynchronizedHashtable;True
cs+class://Spring/Collections/SynchronizedSet;True
cs+class://Spring/Context/ApplicationContextException;True
cs+class://Spring/Objects/FatalObjectException;True
cs+class://Spring/Context/ApplicationEventArgs;True
cs+class://System/EventArgs;False
cs+class://Spring/Context/Attributes/AssemblyObjectDefinitionScanner;True
cs+class://Spring/Context/Attributes/RequiredConstraintAssemblyTypeScanner;True
cs+class://Spring/Context/Attributes/AssemblyTypeScanner;True
cs+interface://Spring/Context/Attributes/IAssemblyTypeScanner;True
cs+class://Spring/Context/Attributes/AssemblyTypeSource;True
cs+class://Spring/Context/Attributes/AttributeConfigUtils;True
